data,produto,categoria,quantidade_produzida,quantidade_vendida,quantidade_descartada,motivo_descarte
01/01/2025,Bolo de Chocolate,Bolos,16,11,5,
01/01/2025,Bolo de Cenoura,Bolos,36,35,1,
01/01/2025,Bolo Red Velvet,Bolos,28,20,8,Validade
01/01/2025,Brigadeiro,Doces,17,16,1,
01/01/2025,Brigadeiro Gourmet,Doces,25,19,6,
01/01/2025,Trufa de Maracujá,Doces,36,33,3,Validade
01/01/2025,Trufa de Morango,Doces,26,22,4,
01/01/2025,Coxinha,Salgados,17,11,6,Excedente
02/01/2025,Bolo de Chocolate,Bolos,13,11,2,Qualidade
02/01/2025,Bolo de Cenoura,Bolos,20,12,8,Excedente
02/01/2025,Bolo Red Velvet,Bolos,29,17,12,Excedente
02/01/2025,Brigadeiro,Doces,35,25,10,Excedente
02/01/2025,Brigadeiro Gourmet,Doces,24,18,6,Qualidade
02/01/2025,Trufa de Maracujá,Doces,24,14,10,
02/01/2025,Trufa de Morango,Doces,14,10,4,Excedente
02/01/2025,Coxinha,Salgados,18,15,3,Qualidade
03/01/2025,Bolo de Chocolate,Bolos,25,23,2,
03/01/2025,Bolo de Cenoura,Bolos,12,7,5,Excedente
03/01/2025,Bolo Red Velvet,Bolos,18,17,1,Qualidade
03/01/2025,Brigadeiro,Doces,27,23,4,Excedente
03/01/2025,Brigadeiro Gourmet,Doces,38,23,15,
03/01/2025,Trufa de Maracujá,Doces,20,13,7,Qualidade
03/01/2025,Trufa de Morango,Doces,29,18,11,Excedente
03/01/2025,Coxinha,Salgados,22,13,9,Qualidade
06/01/2025,Bolo de Chocolate,Bolos,24,22,2,Qualidade
06/01/2025,Bolo de Cenoura,Bolos,27,16,11,Qualidade
06/01/2025,Bolo Red Velvet,Bolos,20,18,2,Validade
06/01/2025,Brigadeiro,Doces,31,18,13,Excedente
06/01/2025,Brigadeiro Gourmet,Doces,27,23,4,
06/01/2025,Trufa de Maracujá,Doces,24,14,10,
06/01/2025,Trufa de Morango,Doces,21,12,9,Validade
06/01/2025,Coxinha,Salgados,16,12,4,Qualidade
07/01/2025,Bolo de Chocolate,Bolos,20,18,2,
07/01/2025,Bolo de Cenoura,Bolos,36,36,0,
07/01/2025,Bolo Red Velvet,Bolos,32,31,1,Excedente
07/01/2025,Brigadeiro,Doces,34,30,4,
07/01/2025,Brigadeiro Gourmet,Doces,36,28,8,Validade
07/01/2025,Trufa de Maracujá,Doces,34,27,7,
07/01/2025,Trufa de Morango,Doces,12,11,1,
07/01/2025,Coxinha,Salgados,15,12,3,
08/01/2025,Bolo de Chocolate,Bolos,33,26,7,
08/01/2025,Bolo de Cenoura,Bolos,12,10,2,Qualidade
08/01/2025,Bolo Red Velvet,Bolos,35,24,11,
08/01/2025,Brigadeiro,Doces,16,10,6,Qualidade
08/01/2025,Brigadeiro Gourmet,Doces,10,7,3,Qualidade
08/01/2025,Trufa de Maracujá,Doces,33,31,2,
08/01/2025,Trufa de Morango,Doces,14,10,4,
08/01/2025,Coxinha,Salgados,19,11,8,Excedente
09/01/2025,Bolo de Chocolate,Bolos,22,19,3,Excedente
09/01/2025,Bolo de Cenoura,Bolos,35,34,1,Excedente
09/01/2025,Bolo Red Velvet,Bolos,28,23,5,
09/01/2025,Brigadeiro,Doces,10,8,2,Qualidade
09/01/2025,Brigadeiro Gourmet,Doces,22,17,5,Excedente
09/01/2025,Trufa de Maracujá,Doces,40,31,9,Excedente
09/01/2025,Trufa de Morango,Doces,40,34,6,Excedente
09/01/2025,Coxinha,Salgados,13,8,5,Validade
10/01/2025,Bolo de Chocolate,Bolos,30,25,5,
10/01/2025,Bolo de Cenoura,Bolos,15,9,6,Validade
10/01/2025,Bolo Red Velvet,Bolos,37,24,13,Qualidade
10/01/2025,Brigadeiro,Doces,37,29,8,Excedente
10/01/2025,Brigadeiro Gourmet,Doces,39,39,0,
10/01/2025,Trufa de Maracujá,Doces,15,13,2,Validade
10/01/2025,Trufa de Morango,Doces,39,23,16,Qualidade
10/01/2025,Coxinha,Salgados,36,21,15,Excedente
13/01/2025,Bolo de Chocolate,Bolos,17,16,1,Excedente
13/01/2025,Bolo de Cenoura,Bolos,10,8,2,Excedente
13/01/2025,Bolo Red Velvet,Bolos,22,21,1,
13/01/2025,Brigadeiro,Doces,29,23,6,Validade
13/01/2025,Brigadeiro Gourmet,Doces,11,6,5,Qualidade
13/01/2025,Trufa de Maracujá,Doces,38,28,10,Qualidade
13/01/2025,Trufa de Morango,Doces,12,9,3,Qualidade
13/01/2025,Coxinha,Salgados,35,25,10,Validade
14/01/2025,Bolo de Chocolate,Bolos,40,32,8,Validade
14/01/2025,Bolo de Cenoura,Bolos,39,33,6,
14/01/2025,Bolo Red Velvet,Bolos,20,20,0,
14/01/2025,Brigadeiro,Doces,32,23,9,Qualidade
14/01/2025,Brigadeiro Gourmet,Doces,24,20,4,
14/01/2025,Trufa de Maracujá,Doces,37,24,13,Qualidade
14/01/2025,Trufa de Morango,Doces,25,22,3,Qualidade
14/01/2025,Coxinha,Salgados,35,24,11,Qualidade
15/01/2025,Bolo de Chocolate,Bolos,17,15,2,
15/01/2025,Bolo de Cenoura,Bolos,40,33,7,Qualidade
15/01/2025,Bolo Red Velvet,Bolos,10,6,4,Excedente
15/01/2025,Brigadeiro,Doces,18,15,3,
15/01/2025,Brigadeiro Gourmet,Doces,22,19,3,Validade
15/01/2025,Trufa de Maracujá,Doces,23,23,0,
15/01/2025,Trufa de Morango,Doces,40,29,11,Excedente
15/01/2025,Coxinha,Salgados,11,11,0,
16/01/2025,Bolo de Chocolate,Bolos,23,17,6,Validade
16/01/2025,Bolo de Cenoura,Bolos,10,7,3,Validade
16/01/2025,Bolo Red Velvet,Bolos,27,20,7,Validade
16/01/2025,Brigadeiro,Doces,30,28,2,
16/01/2025,Brigadeiro Gourmet,Doces,38,29,9,Qualidade
