data_venda,id_pedido,id_item,produto,categoria,quantidade,valor_unitario,desconto,canal,forma_pagamento,custo_unitario,status
01/01/2025,PED-1000,,Brigadeiro,Doces,5,"9,19","0,72",WhatsApp,Dinheiro,"2,92",Cancelado
01/01/2025,PED-1000,,Torta Holandesa,Tortas,5,"13,14",,Balcão,PIX,"4,67",Concluído
01/01/2025,PED-1000,,Bolo Red Velvet,Bolos,3,"18,93",,iFood,Dinheiro,,Concluído
01/01/2025,PED-1001,,Bolo de Cenoura,Bolos,4,"6,77",,Encomenda,Dinheiro,,Cancelado
01/01/2025,PED-1001,,Trufa de Maracujá,Doces,5,"17,00",,Balcão,PIX,"7,49",Concluído
01/01/2025,PED-1001,,Torta de Limão,Tortas,2,"8,26",,iFood,PIX,"3,22",Concluído
01/01/2025,PED-1001,,Brigadeiro Gourmet,Doces,2,"19,55",,Balcão,PIX,,Cancelado
01/01/2025,PED-1002,,Bolo Red Velvet,Bolos,3,"20,54",,Balcão,PIX,,Concluído
01/01/2025,PED-1002,,Coxinha,Salgados,4,"17,92",,iFood,PIX,"8,75",Concluído
01/01/2025,PED-1003,,Torta de Limão,Tortas,2,"10,71",,Encomenda,Cartão Crédito,,Concluído
01/01/2025,PED-1003,,Coxinha,Salgados,2,"13,98","1,80",Balcão,PIX,"4,32",Concluído
01/01/2025,PED-1003,,Bolo Red Velvet,Bolos,4,"32,87",,Encomenda,Cartão Débito,"13,77",Cancelado
01/01/2025,PED-1003,,Brigadeiro Gourmet,Doces,1,"5,47",,iFood,Dinheiro,,Concluído
01/01/2025,PED-1004,,Bolo Red Velvet,Bolos,2,"25,50",,iFood,PIX,,Concluído
01/01/2025,PED-1004,,Coxinha,Salgados,2,"20,31",,Balcão,Cartão Débito,"8,07",Concluído
01/01/2025,PED-1004,,Bolo de Chocolate,Bolos,1,"14,80",,Balcão,PIX,"5,87",Concluído
01/01/2025,PED-1004,,Brigadeiro Gourmet,Doces,4,"32,02",,Encomenda,PIX,"15,19",Cancelado
01/01/2025,PED-1005,,Torta Holandesa,Tortas,3,"21,34","1,62",iFood,Dinheiro,"7,36",Cancelado
01/01/2025,PED-1005,,Brigadeiro Gourmet,Doces,2,"27,68",,Balcão,PIX,"12,22",Concluído
01/01/2025,PED-1006,,Trufa de Maracujá,Doces,5,"7,90",,WhatsApp,PIX,,Cancelado
01/01/2025,PED-1007,,Brigadeiro,Doces,1,"8,86","2,18",Balcão,Dinheiro,"3,38",Concluído
01/01/2025,PED-1007,,Coxinha,Salgados,3,"21,49",,Encomenda,PIX,"7,26",Concluído
01/01/2025,PED-1007,,Trufa de Morango,Doces,3,"12,51",,Balcão,Cartão Crédito,,Cancelado
01/01/2025,PED-1007,,Torta Holandesa,Tortas,1,"9,01",,WhatsApp,PIX,,Concluído
01/01/2025,PED-1008,,Coxinha,Salgados,4,"11,74","0,50",Encomenda,Cartão Débito,"5,36",Concluído
01/01/2025,PED-1008,,Brigadeiro,Doces,5,"33,53","2,19",Balcão,Dinheiro,"12,04",Concluído
01/01/2025,PED-1008,,Trufa de Morango,Doces,1,"7,34","1,99",WhatsApp,Dinheiro,"3,45",Cancelado
01/01/2025,PED-1008,,Bolo de Chocolate,Bolos,2,"8,28",,WhatsApp,Cartão Crédito,,Concluído
01/01/2025,PED-1009,,Pão de Queijo,Salgados,5,"6,62","0,70",iFood,Cartão Débito,,Concluído
01/01/2025,PED-1009,,Torta Holandesa,Tortas,3,"32,43",,iFood,Cartão Crédito,"14,08",Concluído
01/01/2025,PED-1010,,Bolo de Chocolate,Bolos,5,"23,77",,iFood,PIX,"8,14",Concluído
01/01/2025,PED-1011,,Brigadeiro,Doces,3,"20,13","0,90",iFood,Dinheiro,,Cancelado
01/01/2025,PED-1012,,Torta de Limão,Tortas,1,"15,83",,WhatsApp,Cartão Débito,,Concluído
01/01/2025,PED-1012,,Bolo de Cenoura,Bolos,2,"29,77",,iFood,Cartão Crédito,"12,70",Concluído
01/01/2025,PED-1012,,Bolo Red Velvet,Bolos,1,"7,08","2,12",Balcão,Dinheiro,,Concluído
02/01/2025,PED-1013,,Bolo Red Velvet,Bolos,4,"33,90",,WhatsApp,Dinheiro,"16,57",Concluído
02/01/2025,PED-1013,,Coxinha,Salgados,5,"28,85","0,87",Balcão,Cartão Débito,"10,43",Concluído
02/01/2025,PED-1013,,Empada de Frango,Salgados,2,"32,93",,Encomenda,PIX,"13,56",Concluído
